"centis","Min","Max","Média"
1,4.58132536855728,178.412610795867,124.905414900276
2,178.412610795867,288.960325198562,238.918534819672
3,288.960325198562,355.43104623189,337.422098888745
4,355.43104623189,459.263501756209,422.929768676681
5,459.263501756209,461.035537925684,460.281474629556
6,461.035537925684,464.562581436892,462.469619577601
7,464.562581436892,475.766962122311,473.657047798849
8,475.766962122311,574.889236281872,530.396828348604
9,574.889236281872,632.378159910059,587.316776980552
10,632.378159910059,688.562633994668,678.039583693677
11,688.562633994668,691.249537828579,689.44304146947
12,691.249537828579,695.301125215449,692.898625752851
13,695.301125215449,773.121313448755,717.990042995279
14,773.121313448755,861.504266729786,815.62019921356
15,861.504266729786,922.264880026547,909.832539946458
16,922.264880026547,993.262674385299,944.478697027608
17,993.262674385299,1142.28841672382,1059.98030368066
18,1142.28841672382,1154.29732468251,1149.55117850498
19,1154.29732468251,1190.2827275616,1172.05223173929
20,1190.2827275616,1301.10190286447,1272.43402120334
21,1301.10190286447,1332.66048999628,1307.65686610544
22,1332.66048999628,1382.17989557127,1374.53965468022
23,1382.49907565716,1384.45356106927,1383.82363709388
24,1384.45356106927,1387.24730939517,1386.20493266065
25,1387.24730939517,1388.32297081935,1388.04673268667
26,1388.32297081935,1390.89652066923,1389.53155260554
27,1390.89652066923,1391.56841032131,1391.05291264296
28,1391.56841032131,1392.96484379472,1392.18600341974
29,1392.96484379472,1393.53150874726,1393.33455710058
30,1393.53150874726,1394.67412910046,1393.97579033962
31,1394.67412910046,1396.72759833514,1396.10584101595
32,1396.72759833514,1397.12961501187,1396.91103504943
33,1397.12961501187,1398.4241839674,1397.32479411217
34,1398.4241839674,1399.66540556917,1399.09801567588
35,1399.66540556917,1401.4429272364,1400.62062672249
36,1401.4429272364,1403.20351100148,1401.83114282902
37,1403.20351100148,1405.66126100484,1404.32582186722
38,1405.66126100484,1408.28799919084,1407.12387286284
39,1408.28799919084,1426.55515040699,1419.05750262983
40,1426.55515040699,1429.79320445212,1427.62407819882
41,1429.79320445212,1435.94142677684,1433.0738359891
42,1435.94142677684,1440.82070191106,1439.33353962473
43,1440.82070191106,1444.80536698352,1442.25110911829
44,1444.80536698352,1491.88570698845,1470.57173201338
45,1491.88570698845,1504.16978637193,1498.4661492314
46,1504.16978637193,1549.70872696252,1530.02054074688
47,1549.70872696252,1613.84608994771,1595.90759719393
48,1613.84608994771,1663.6862474703,1631.24635922133
49,1663.6862474703,1717.99701320898,1700.53074129493
50,1717.99701320898,1728.62326526626,1723.82380918298
51,1728.62326526626,1734.49525701597,1730.47036169599
52,1734.907146185,1765.27806246816,1739.79789284624
53,1765.27806246816,1784.12610795867,1776.86752339694
54,1784.12610795867,1840.20281788987,1818.98921685208
55,1840.20281788987,1854.13633390786,1847.56686628373
56,1854.13633390786,1907.33381780003,1885.62811976391
57,1907.33381780003,1967.29638837576,1949.32861397192
58,1967.60605973469,2060.26828127995,2020.25150755052
59,2060.26828127995,2078.29218070833,2071.03579420579
60,2078.29218070833,2111.65828050272,2086.71609687735
61,2111.72238377878,2189.88757529949,2147.39662158534
62,2189.88757529949,2284.57683344764,2247.18029028811
63,2284.57683344764,2298.94641742123,2292.62694118527
64,2298.94641742123,2305.49441421101,2303.48768399888
65,2305.49441421101,2313.20952824667,2309.8011953219
66,2313.20952824667,2363.50956197712,2328.70352396828
67,2363.50956197712,2384.16727225004,2373.30986584724
68,2384.16727225004,2519.7289527065,2447.33716441118
69,2519.7289527065,2611.44447691982,2554.4832224514
70,2611.44447691982,2748.79522113437,2668.63383291775
71,2748.79522113437,2787.06301749451,2770.61835335627
72,2787.06301749451,2815.12418260185,2802.81334777218
73,2815.12418260185,2837.48025401907,2823.35635900417
74,2837.48025401907,2853.34569213614,2845.22923722834
75,2853.34569213614,2926.77840641981,2878.19749855508
76,2926.77840641981,3055.79070751124,2976.40762124188
77,3055.79070751124,3214.19600040284,3146.54845808762
78,3214.52160880991,3387.73755769196,3343.47288622528
79,3387.73755769196,3514.69922540114,3444.08157209576
80,3514.69922540114,3801.28686108313,3668.81953618468
81,3801.28686108313,4008.13526035137,3908.55885006947
82,4008.32545234167,4265.84909450679,4154.55423560894
83,4265.84909450679,4559.9341815094,4422.16731839416
84,4559.9341815094,4885.18287415713,4722.83606090583
85,4885.18287415713,5191.46987021259,5027.39927279724
86,5192.66072349036,5612.18377047811,5397.93494817974
87,5612.18377047811,6013.28786479153,5794.47052010723
88,6013.28786479153,6512.05556589295,6236.12791764445
89,6512.05556589295,6919.76854042948,6717.15923547642
90,6919.76854042948,7666.52130321983,7264.01521141169
91,7668.84459424242,8290.84108388808,7951.6440401725
92,8294.75612750259,9206.00651943347,8688.38114991001
93,9207.0169920974,10204.4423937128,9701.03827147986
94,10204.4423937128,11744.2585499537,10873.6024372047
95,11744.2585499537,13555.4925982116,12433.6035198994
96,13562.4365360168,15972.9622575501,14544.5183169437
97,15973.4641562884,19250.4722686593,17481.2159594793
98,19250.4722686593,25603.5661456192,22050.1313694361
99,25631.4861555384,39148.7248733203,31122.2870771602
100,39148.7248733203,17882979.6857778,109213.891287493
